id	name	preference	category	texture	flavor	weather	time	temperature	allergic	ingredient
0	호박죽	3	한식	부드러운	달콤	맑음	0	추움		쌀
1	오므라이스	3	양식	null	null	맑음	0	적당	계란	쌀
2	초밥	3	일식	차가운	null	맑음	1	적당	생선	해산물
3	간장치킨	3	기타	null	달콤	맑음	1	적당		닭
4	야채곱창	3	한식	null	매콤	맑음	1	적당		고기
5	햄버거	3	양식	식감있는	느끼	맑음	1	적당	밀가루	고기
6	양념치킨	3	기타	바삭한	매콤	맑음	1	적당		닭
7	삼겹살	3	한식	식감있는	느끼	맑음	0	적당		돼지
8	라면	3	한식	부드러운	매콤	맑음	1	추움	밀가루	면
9	짜장면	3	중식	null	느끼	맑음	1	적당	밀가루	면
10	샤브샤브	3	일식	식감있는	null	비	0	추움		고기
11	마라탕	3	중식	null	매콤	맑음	0	추움	땅콩	null
12	후라이드치킨	3	기타	바삭한	느끼	맑음	1	적당		닭
13	냉면	3	한식	차가운	null	맑음	0	더움		면
14	떡볶이	3	분식	쫀득한	매콤	맑음	0	적당		null
15	일본라멘	3	일식	부드러운	느끼	비	0	추움	밀가루	면
16	샐러드	3	기타	차가운	null	맑음	0	더움		야채
17	멸치국수	3	한식	부드러운	null	비	0	적당	밀가루	면
18	팟타이	3	동남아	식감있는	null	맑음	0	적당		면
19	푸팟퐁커리	3	동남아	null	느끼	맑음	0	적당	게	해산물
20	얇은 피자	3	양식	null	느끼	맑음	0	적당	밀가루	null
21	오꼬노미야끼	3	일식	부드러운	느끼	비	0	적당	밀가루	null
22	빈대떡	3	한식	식감있는	느끼	비	0	적당	밀가루	null
23	곱창	3	한식	쫀득한	느끼	맑음	1	적당		고기
24	간장게장	3	한식	부드러운		맑음	0	적당	게	해산물
